,company,job_title,address,employment_type,seniority,category,salary,salary_period,requirements
10,ECQUARIA TECHNOLOGIES PTE LTD,Data Analyst,"JACKSON SQUARE, 11 LORONG 3 TOA PAYOH 319579",Permanent,"Middle Management, Executive",Information Technology,"$4,000to$5,000",Monthly,"Requirements Degree in Computer Science, Information Management or Mathematics. Strong knowledge in database design, data modeling, data mining, machine learning. Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, R, Matlab, etc.). Ability to work independently to innovate and develop prototypes to demonstrate the feasibility of ideas Possess good interpersonal, presentation and communication skills "
11,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Senior Data Center Infrastructure Availability Engineer,"AIA TOWER, 1 ROBINSON ROAD 048542",Full Time,Professional,"Building and Construction, Design, Engineering, Information Technology","$14,000to$17,000",Monthly,"RequirementsBASIC QUALIFICATIONS  Bachelor’s/Diploma/certification degree in electrical engineering. Cumulative 10+ years of experience with mission critical facilities. Hands-on mission critical equipment/system design, implementation, and operational experience Cumulative 3+ years managing cross-functional teams working on facilities Primary understanding of uninterruptible power sources, diesel generators, electrical switchgear, power distribution units, and automatic/static transfer switches. Secondary understanding of chillers, cooling towers, direct and indirect evaporative cooing, and variable speed drives, and fan systems. Knowledge of building codes and regulations including Life Safety, IBC, NFPA, NEC, NESC and OSHA. Direct experience with the design, construction, operation, or maintenance of data centers. Ability to research new designs, technologies, construction methods, and innovative operations procedures of data center equipment and facilities. Ability to critically audit and provide customer-representative feedback on design concepts through exploration, development, deployment/construction, and through operations. Ability and willingness to think outside of the box to find creative and innovative solutions to improve availability through improved quality, reliability, and maintainability. Ability to perform complex business case analysis to justify technical decisions and present the justification to management in a high level review. Possess excellent communication skills, attention to detail, maintain high quality standards.  PREFERRED QUALIFICATIONS  10+ years of experience directly related to data center or mission critical facility design, construction, and operations. Professional Engineering License or Master Degree in Engineering Direct experience with high voltage distribution systems design. Direct experience with chiller systems, cooling towers and factory testing protocols Managing experience with the design, construction, operation, or maintenance of data centers. Previous consultant and jurisdiction negotiation skills associated with design, construction and project execution. Experience with large scale technical operations or large-scale compute facilities "
12,MACLINK PTE. LTD.,Data Processing Manager,"SIM LIM SQUARE, 1 ROCHOR CANAL ROAD 188504",Full Time,Manager,Sales / Retail ,"$2,000to$4,000",Monthly,"RequirementsIn addition to inputting, organizing, and cataloging data, a Data processing officer may also be responsible for performing quality control checks, identifying job problems, and ensuring that job orders are completed according to schedule. Organizes documents; prepares and codes data for entry into computer system."
13,ITCAN PTE. LIMITED,Big Data Tester,"PRUDENTIAL TOWER, 30 CECIL STREET 049712","Contract, Full Time",Executive,Information Technology,"$4,500to$7,500",Monthly,Requirements 2 to 7 Years of IT Experience Experience in BigData platform development/Testing Good knowledge and understanding of Apache Hive and Apache Spark Good knowledge on ETL framework Ability to write test scenarios and execute testing under Bigdata platform   
14,DIMENSION DATA (SINGAPORE) PTE. LTD.,Training Services Senior Sales Specialist,"APERIA, 8 KALLANG AVENUE 339509",Contract,Senior Executive,Sales / Retail ,"$4,000to$6,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
15,DIMENSION DATA ASIA PACIFIC PTE. LTD.,Manager - Transformation and Apps,"APERIA, 8 KALLANG AVENUE 339509",Full Time,Manager,Information Technology,"$8,000to$10,000",Monthly,"RequirementsSkills  Detailed background knowledge or hands-on experience relevant to Dimension Data. Experience with new technologies, understanding their impact on business and creating solutions leveraging new & niche technologies Knowledge of Power BI, Blue Prism & other automation & datamining tools Sound working knowledge of general business processes and organizational framework, such as goals, strategy, culture and structure. Demonstrated project management skills including project initiation, scoping, resourcing, scheduling, budgeting, risk management and communication Proficient at producing and presenting reports. Confident with strong decision-making skills. Ability to demonstrate innovation, creativity and problem solving skills Good leadership skills and ability to lead and motivate on-site & off-shore team Ability to influence key decision makers. Ability to set and meet objectives. Excellent organizational skills.  Experience & Qualifications  10 - 15 years of industry experience across different functions – research, business strategy, IT consulting and Digital transformation Minimum 5 years in IT industry working with new and emerging technologies Degree in Master of Business Administration (MBA) Should have done large scale transformations and consulting projects Past record of exceptional corporate performance & understanding of technology application to business problem solving "
16,DIMENSION DATA (SINGAPORE) PTE. LTD.,Project Manager,"APERIA, 8 KALLANG AVENUE 339509",Contract,Professional,Professional Services,"$9,000to$11,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
17,DIMENSION DATA (SINGAPORE) PTE. LTD.,Project Manager,"APERIA, 8 KALLANG AVENUE 339509",Contract,Professional,Professional Services,"$5,000to$9,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
18,NTT DATA SINGAPORE PTE. LTD.,Senior Technical Consultant,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Contract,"Professional, Senior Executive",Information Technology,"$6,000to$9,000",Monthly,"Requirements 5+ years of experience in PeopleSoft HRMS and Multi Lingual Implementation 5+ Years of Application Maintenance Experience 3+ Years of Implementation Experience 5+ Years of Enhancement Experience Trained on Fusion HCM Cloud , Talent Management , Compensation Management, US Payroll & Absence Management  PeopleSoft HCM Techno-Functional consultant providing PeopleSoft Application Maintenance and enhancement services. Experience on Below:  NA Payroll Talent Acquisition Management Core HR Benefits Employee Self Service Manager Self ServicePeopleTools 8.48 – 8.54 "
19,DIMENSION DATA (SINGAPORE) PTE. LTD.,Cyber Security Sales,"APERIA, 8 KALLANG AVENUE 339509",Permanent,Professional,Others,"$6,000to$11,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
20,DIMENSION DATA (SINGAPORE) PTE. LTD.,Technical Support Engineer,"APERIA, 8 KALLANG AVENUE 339509",Contract,Executive,Information Technology,"$6,000to$9,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
21,DIMENSION DATA (SINGAPORE) PTE. LTD.,Technical Support Engineer,"APERIA, 8 KALLANG AVENUE 339509",Contract,Executive,Information Technology,"$3,000to$6,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
22,DIMENSION DATA (SINGAPORE) PTE. LTD.,Service Desk Administrator,"APERIA, 8 KALLANG AVENUE 339509",Contract,Executive,Admin / Secretarial,"$2,500to$5,000",Monthly,Requirementsplease email justin.chen@dimensiondata.com
23,DIMENSION DATA (SINGAPORE) PTE. LTD.,Seniort Network Security Engineer,"APERIA, 8 KALLANG AVENUE 339509",Contract,Senior Executive,Engineering,"$6,000to$10,000",Monthly,Requirementsplease email justin.chen!dimension data.com
24,DIMENSION DATA (SINGAPORE) PTE. LTD.,Project Coordinator,"APERIA, 8 KALLANG AVENUE 339509",Contract,Senior Executive,Banking and Finance,"$3,000to$6,000",Monthly,Requirementsplease email Cv to justin.chen@dimensiondata.com
25,DIMENSION DATA (SINGAPORE) PTE. LTD.,Technical Consultant,"APERIA, 8 KALLANG AVENUE 339509",Contract,Senior Executive,Information Technology,"$8,000to$11,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
26,DIMENSION DATA (SINGAPORE) PTE. LTD.,Technical Consultant,"APERIA, 8 KALLANG AVENUE 339509",Contract,Senior Executive,Information Technology,"$5,000to$8,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
27,DIMENSION DATA (SINGAPORE) PTE. LTD.,Solutions Architect,"APERIA, 8 KALLANG AVENUE 339509",Full Time,Professional,Information Technology,"$6,000to$11,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
28,DIMENSION DATA (SINGAPORE) PTE. LTD.,Technical Operations Manager,"APERIA, 8 KALLANG AVENUE 339509",Full Time,Manager,Information Technology,"$6,000to$10,000",Monthly,Requirementsplease email CV to justin.chen@dimensiondata.com
29,CITIBANK N.A.,O&T - AML Scenario Management & Validation (SMV) Statistician,0,Full Time,Manager,Banking and Finance,"$2,666to$3,833",Monthly,"RequirementsSkills  Statistical/data analytical skills - including both calculation and interpretation of outcome Methodical analysis and problem-solving skills Initiative, creativity and attention to detail are essential Ability to work under close supervision of senior team member, while preserving independence of thinking and responsibility for the results. Ability to discuss reasoning, critical assessment of facts and opinions; ability of giving comprehensive answers and arguments Conceptual and creative thinking (outside the box) Demonstrated ability to communicate effectively, both orally and in writing, through all levels of the organization and through different business units Self-motivated with high desire of self-development and learning Must be able to coordinate and deal with conflicting time demands Ability to work non-standard business hours, including weekends and holidays as determined by the business needs. Flexibility will be expected.    Competencies:  Very good written and verbal communication ability in an educational style. Ability to express thoughts and concepts clearly. Teamwork:  Ability to work well with a variety of people and to show team-player attitude regardless the scope of responsibilities. Creativity: Provide input into the innovation of new and enhanced approaches. Having initiative and a proactive attitude is desirable.    Check out the Competency Model for the role, where you can find more information on common and unique competencies together with exemplary behaviors and specific developmental actions.   Experience: Must have:  Strong academic background, knowledge of quantitative methods Good knowledge of  SQL and/or other data processing languages (SAS 4GL is preferable) Highly-skilled and good knowledge of MS Excel and VBA experience Experience in reporting the results of analysis in clear written form, and in presenting the findings during meetings and conference calls Min. 2-3 years of experience in a large corporation, preferably experience of multicultural environment Team working experience (demonstrated team player ability required) Understanding of technical requirements, ability to communicate with Technical Support    Desirable:  Experience with statistical modelling Mantas and AML monitoring systems experience or other transaction monitoring systems a plus Knowledge of the local/regional laws and regulations applicable to anti-money laundering Previous experience with financial services companies (retail banking, small business banking, commercial, institutional, private banking) Knowledge of any programming language or dedicated statistical software would be an advantage    Qualifications:  Master degree in statistics/mathematics /actuarial sciences/economics. Degree in economics/banking may be considered if strong analytical skills proved.   "
30,DREAMSCAPE NETWORKS INTERNATIONAL PTE. LTD.,Business Intelligence Developer,"TAI SENG CENTRE, 3 IRVING ROAD 369522",Permanent,Professional,Information Technology,"$5,000to$7,000",Monthly,"RequirementsmyYou should have:  A degree in Computer Science or programming Minimum 5 years of relevant experience in design, development and maintenance of Business Intelligence solutions Excellent dashboard design skillset, including UI/visualization aspects and performance tuning of dashboards, intelligent cubes, transaction services. Experience in customer-facing discussions for requirements gathering and architecting solutions for BI projects. Ability to train and mentor team members and business users. Excellent problem solving and anlytical skills as well as inter-persoanl and communication skills. Strong documentation skills to interface across breadth of cross-functional teams and management. Proficiency in the following skills and frontend technologies:   MySQL JavaScript SVN Jira Active Collab     "
31,LEADIQ SINGAPORE PTE. LTD.,Software Engineer in Machine Learning,"LIAN HUAT BUILDING, 163 TRAS STREET 079024",Permanent,Professional,"Information Technology, Sciences / Laboratory / R&D","$5,000to$7,500",Monthly,"RequirementsIf you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads). "
32,MARINA BAY SANDS PTE. LTD.,Senior IT Auditor,80 ROBINSON ROAD 068898,Full Time,Senior Executive,"Accounting / Auditing / Taxation, Information Technology","$4,500to$7,400",Monthly,"Requirements Possess a Bachelor’s degree, in Information Technology, Data Science, Science (Mathematics/ Statistical & Analytics) or equivalent, Management Information Systems, Accounting, Business, Finance, or related field. Minimum 4 years of full-time experience, applicable in Information Technology, Financial/ Statistical/ Data Analysis, Internal/External Audit, or Finance/Accounting. Experience in using data analytics and statistical tools (e.g. ACL, IDEA, Spotfire, SAS, etc.) is a must.  CPA, CISA, CISM, CIA or certifications related to data science, big data or working towards a certification is highly preferred. Well-developed analytical, interpersonal, and communication (both written and verbal) skills. Must have a working knowledge of auditing standards, principles and techniques. Prior experience at a “Big Four” public accounting firm highly desirable. Working knowledge of MS Office Suite. Knowledge of Sarbanes-Oxley requirements and auditing / data analysis or security administration experience in iSeries and Windows environments preferred. Ability to work in a continuously changing environment. Must be able to establish good working relationships with audit staff and others. Maintain a professional, neat and well-groomed appearance adhering to Las Vegas Sands Corporation’s appearance standards. Work in a fast-paced, busy, and somewhat stressful environment. "
33,LEADIQ SINGAPORE PTE. LTD.,DevOps Engineer,"LIAN HUAT BUILDING, 163 TRAS STREET 079024",Permanent,Professional,"Engineering, Information Technology, Sciences / Laboratory / R&D","$4,500to$7,000",Monthly,"RequirementsIf you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in: - 2+ years doing dev-ops in a complex production environment - 2+ years of Docker (Ansible experience is a plus) - 2+ years of Continuous integration and continuous delivery - 2+ years of AWS administration - Scala or Java (but experience in another functional language helps, e.g. Haskell or Clojure)   So if you feel like you're a good fit for us, drop us a line! We love meeting developers who are excited by our product!"
34,LEADIQ SINGAPORE PTE. LTD.,Backend Developer,"LIAN HUAT BUILDING, 163 TRAS STREET 079024",Permanent,Professional,"Engineering, Information Technology, Sciences / Laboratory / R&D","$4,500to$7,500",Monthly,"RequirementsIf you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in: - Scala (but experience in another functional language helps, e.g. Haskell or Clojure)  - Play framework  - Concurrency (futures, actors, basic understanding of threads)  So if you feel like you're a good fit for us, drop us a line! We love meeting developers who are excited by our product!"
35,INDEED SINGAPORE OPERATIONS (PTE.) LTD.,Staff Software Engineer,"OUE BAYFRONT, 50 COLLYER QUAY 049321",Full Time,Professional,Information Technology,"$12,000to$15,000",Monthly,"RequirementsWe're looking for someone who  Has a passion for run-time performance  Thrives on simplifying complex information  Loves to learn and develop new skills continuously  Has a strong sense of ownership in every application they build   Requirements  BS in Computer Science or related area, or relevant work experience  5+ years experience in software development  Deep background in information retrieval (IR), knowledge representation or computational linguistics  Significant experience with large scale, high-performance systems.  Experience building solutions for high traffic web sites a plus   Indeed provides a variety of benefits that help us focus on our mission of helping people get jobs. View our bounty of perks: http://indeedhi.re/IndeedBenefits "
36,INDEED SINGAPORE OPERATIONS (PTE.) LTD.,Software Engineer,"OUE BAYFRONT, 50 COLLYER QUAY 049321",Full Time,Executive,Information Technology,"$7,000to$10,000",Monthly,"RequirementsWe're looking for someone who  Has a passion for run-time performance  Thrives on simplifying complex information  Loves to learn and develop new skills continuously  Has a strong sense of ownership in every application they build   Requirements  BS in Computer Science or related area, or relevant work experience  1+ years experience in software development  Deep background in information retrieval (IR), knowledge representation or computational linguistics  Significant experience with large scale, high-performance systems.  Experience building solutions for high traffic web sites a plus   Indeed provides a variety of benefits that help us focus on our mission of helping people get jobs. View our bounty of perks: http://indeedhi.re/IndeedBenefits  "
37,INDEED SINGAPORE OPERATIONS (PTE.) LTD.,Senior Software Engineer,"OUE BAYFRONT, 50 COLLYER QUAY 049321",Full Time,Senior Executive,Information Technology,"$10,000to$12,000",Monthly,"RequirementsWe're looking for someone who  Has a passion for run-time performance  Thrives on simplifying complex information  Loves to learn and develop new skills continuously  Has a strong sense of ownership in every application they build   Requirements  BS in Computer Science or related area, or relevant work experience  3+ years experience in software development  Deep background in information retrieval (IR), knowledge representation or computational linguistics  Significant experience with large scale, high-performance systems.  Experience building solutions for high traffic web sites a plus   Indeed provides a variety of benefits that help us focus on our mission of helping people get jobs. View our bounty of perks: http://indeedhi.re/IndeedBenefits  "
38,Ministry of Defence,Assistant Director (Integrated Feedback System),"MINDEF BUILDING, 303 GOMBAK DRIVE 669645",Permanent,0,"Human Resources , Public / Civil Service",0,,0
39,NEWFORT HOSPITALITY MANAGEMENT,PERFORMANCE DEVELOPMENT ANALYST,"OAKWOOD STUDIOS SINGAPORE, 18 MOUNT ELIZABETH 228514",Full Time,Senior Executive,Hospitality,0,,"Requirements- Minimum 1-2 years relevant working experience in hospitality industry - Strong understanding of the key analytics and general accounting terms used in the hospitality business - Understand the workings of hotel's systems and reporting templates and schedule the timely production of various   monthly, weekly and daily reports required by internal departments (Sales/Revenue, Finance, Executive Office) - Support the Admin & General department in the development, execution and regular use of the Hotel's annual   Business Plan, Strategics Product & Service standards templates and Balanced Scorecard Performance Measurement   tools - Able to work indepenently and to a strict schedule - Able to articulate ideas well to improve processes"
40,JOHNSON & JOHNSON PTE. LTD.,Network Level 4 Engineer,"ASCENT, 2 SCIENCE PARK DRIVE 118222",Permanent,Professional,"Engineering, Information Technology","$5,000to$10,000",Monthly,"Requirements 10+ years of experience with an MSP, ISP, major carrier, or very large enterprise network Expert level at troubleshooting and diagnostics.  Able to perform (advanced level) configuration, testing, and troubleshooting of IP network infrastructure. Ability to configure/implement complex network changes Strong and broad technical knowledge and experience with converged infrastructure, switching / routing in a large and complex network, DHCP, DNS, IP (Schema, subnetting, summarization) IP management tools, network management applications, advanced WAN routing, WAN/LAN/Wireless LAN topologies, MPLS and other WAN technologies, unified Communication, IPT, traffic shaping / QoS, EIGRP/BGP, multimedia/VoIP solutions (SIP), firewalls, and contact center technology Strong to expert knowledge of Routing and Switching systems; strong understanding of Routing Protocols (OSPF, EIGRP, and BGP) and Gateway Redundancy Protocols (HSRP, VRRP, and GLRP)  Strong knowledge of VoIP, Multicast, STP, VTP and Virtual LAN’s and Trunking (VLAN’s); Network Security (ACL’s, IPSec Tunnels), Firewalls (Security Appliances), Netflow, IPSLA, and VPN technologies Excellent written and oral communication skills Ability to effectively prioritize and execute in a high-pressure environment Exceptional customer service orientation Extensive experience working in a team-oriented, collaborative environment "
41,HUAWEI INTERNATIONAL PTE. LTD.,Solutions Director,"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",Full Time,Senior Management,Information Technology,"$7,000to$12,000",Monthly,"Requirements Tertiary qualification, B. SC in computer science/engineering/telecommunication with distinction. CCIE will be an added advantage. Minimum 8 years of working experience for IT and manager a team that is over 10 members. Preferable with pre-sales experience in FSI or ISP industry. Knowledge of cloud, storage, server, data center facility or network switch/router would be an added advantage. Self initiative to take the responsibility of task and learn new products/technologies The candidate shall be adaptable and flexible to tasks or job scope being assigned. "
42,STANDARD CHARTERED BANK,Business Analyst,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,"Manager, Professional",Banking and Finance,"$8,300to$16,600",Monthly,"RequirementsIdeal Candidate: Should have around 10 years of experience. Strong understanding of the Business Analysis process is a must. Extensive derivatives knowledge across asset classes encompassing product knowledge, pricing, risk analytics and trade life cycle. Quantitively finance understanding, ability to liaise with Quantitively analysts on pricing and risk topics Proven ability to work across business streams and have exposure to front to back system implementation. Good understanding of key technology concepts, basics in SQL, functional programming and architecture. Strong technical acumen is a big plus. Knowledge and experience of Agile development practices would be desirable. Knowledge or experience as a Scrum Master would be desirable. Ability to work proactively, independently and displays strong initiative. Pragmatic team player with an attention to detail. Strong interpersonal, problem solving and analytical skills. Ability to accurately translate and document business needs into functional requirements and produce quality documentation. Ability to drive multiple agenda and effectively manage priorities. Strong communication and presentation skills with an excellent standard of English are a must. How to Apply Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1900001742&lang=en  to apply now and take the next step in fulfilling your potential. You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com. To help speed up your application, please note the following:  You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information) We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application  It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience. Diversity & Inclusion Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential."
